Campaign_ID,Product_ID,Budget,Clicks,Conversions,Revenue_Generated,ROI,Customer_ID,Subscription_Tier,Subscription_Length,Flash_Sale_ID,Discount_Level,Units_Sold,Bundle_ID,Bundle_Price,Customer_Satisfaction_Post_Refund,Common_Keywords
CMP_MTSCPC,PROD_I50ZPO,36564.68,4331,108,46426.93,1.23,CUST_MQHTJY,Premium,21,FLASH_UX849D,31,177,BNDL_4EPPS3,410.3,3,Durable
CMP_79B4D2,PROD_RNMDRM,37864.68,1888,947,23255.86,1.94,CUST_J48W8R,Basic,14,FLASH_EPDH55,33,179,BNDL_EVPKVC,443.24,4,Durable
CMP_R7NKS6,PROD_6J3P75,18632.1,497,91,68453.18,4.25,CUST_PGXPFG,Basic,1,FLASH_787SYL,31,102,BNDL_D4KR0X,227.11,3,Innovative
CMP_K56KCP,PROD_UI3FQD,38985.39,3848,411,99186.53,4.86,CUST_3IR8Q2,Standard,6,FLASH_SZXBKS,10,137,BNDL_8E9R1S,252.01,2,Affordable
CMP_AH9THQ,PROD_2Z434D,47081.65,1816,129,54481.48,1.14,CUST_2JZ3V8,Basic,21,FLASH_VYH0TP,53,176,BNDL_S1DRLI,392.36,4,Stylish
CMP_OVHUTO,PROD_2SXWO6,8809.37,4867,385,8356.41,2.8,CUST_1HHY8V,Premium,10,FLASH_K3JYFS,63,72,BNDL_J2L1Z8,445.15,3,Stylish
CMP_BK60GL,PROD_VXSLGY,37643.5,3700,521,93046.27,2.71,CUST_15E44Q,Premium,28,FLASH_CYT033,68,197,BNDL_2405HF,201.44,1,Affordable
CMP_BU8KJK,PROD_YAU41E,6806.29,4039,352,45830.03,4.2,CUST_O1XI91,Basic,32,FLASH_JIELL8,21,41,BNDL_57NW0Q,119.94,4,Durable
CMP_U5QFJH,PROD_MIE14F,39917.29,1808,42,94641.55,3.68,CUST_FZLWY6,Standard,28,FLASH_8DGR0E,54,51,BNDL_RMMMWR,443.08,2,Durable
CMP_Y5QZFB,PROD_NYD8HM,29926.86,1946,349,24857.92,4.03,CUST_86CT16,Standard,2,FLASH_TNGRO6,18,155,BNDL_6KVIQE,343.23,3,Affordable
CMP_T5NVJR,PROD_JG6XUM,18360.77,3224,138,10462.13,1.19,CUST_V1H6F5,Standard,17,FLASH_X6Y9KO,49,12,BNDL_DQUD3P,472.55,2,Innovative
CMP_HB48DO,PROD_8RK1I8,35293.04,431,709,51133.0,2.11,CUST_9VG4PY,Standard,6,FLASH_D1BVZR,65,110,BNDL_LW1GHA,75.39,3,Innovative
CMP_JGU6CL,PROD_EG6QA9,25309.05,2240,251,28767.29,1.96,CUST_Z7UV7J,Premium,12,FLASH_8H13G4,48,75,BNDL_QRMG3Z,73.51,2,Affordable
CMP_N2RDBI,PROD_OCZ0NI,16560.12,2203,62,88344.56,4.15,CUST_AHWFJ9,Basic,6,FLASH_ZCTDJP,53,113,BNDL_JXR0CU,290.98,3,Stylish
CMP_3DZDCY,PROD_R5VE1H,38686.06,3098,115,59161.53,2.53,CUST_4X7CB2,Standard,21,FLASH_2RHZRO,63,194,BNDL_XO23NL,134.18,3,Innovative
CMP_ZINYYP,PROD_YK2KUD,10936.71,2719,29,5333.62,2.91,CUST_D7WHCT,Premium,19,FLASH_6BWLXK,36,21,BNDL_6MI23J,495.73,4,Affordable
CMP_J3P16J,PROD_Y9Q4TT,27815.5,2547,441,11138.3,3.15,CUST_75UNOZ,Basic,33,FLASH_WYC527,33,124,BNDL_28SVFL,51.09,2,Affordable
CMP_73ZEYI,PROD_N6TJ3L,26529.02,1081,839,49134.7,3.17,CUST_OP1NV7,Standard,2,FLASH_G7L5WT,47,113,BNDL_O4ACGO,347.8,2,Affordable
CMP_6LIAXU,PROD_FMQVT0,12292.15,1362,327,22019.92,0.88,CUST_V2EZ3I,Basic,23,FLASH_P58NTF,45,49,BNDL_YWCKWK,401.31,2,Durable
CMP_I7T3C0,PROD_9O79YH,30877.02,1077,310,24046.81,4.93,CUST_3FS404,Basic,8,FLASH_IPTB5R,69,18,BNDL_AMA3F9,248.13,1,Innovative
CMP_PQE4BR,PROD_PAL55D,34299.57,3940,951,23264.81,2.18,CUST_WWPLKL,Premium,2,FLASH_G2S4KF,38,102,BNDL_Z12655,452.81,2,Innovative
CMP_76CVFB,PROD_XX48PJ,11504.53,3042,229,67001.35,3.77,CUST_DK9G8T,Standard,30,FLASH_KOVJ0A,67,144,BNDL_KXMAPU,149.36,2,Innovative
CMP_DBZKAJ,PROD_ERZP34,8640.53,4972,138,58350.61,4.46,CUST_FYB8SB,Standard,33,FLASH_06F2QB,21,26,BNDL_WGGDV0,498.37,4,Innovative
CMP_0JPJSU,PROD_RFVQ9K,42067.16,3485,305,79350.86,0.62,CUST_GAVKMF,Basic,25,FLASH_1NZJOX,28,35,BNDL_HK93UM,143.15,1,Affordable
CMP_R15N65,PROD_123WFY,17588.71,509,574,69641.84,0.72,CUST_LKUU0U,Standard,33,FLASH_G2WE45,67,147,BNDL_0YGXFY,327.11,3,Innovative
CMP_92XH6T,PROD_F36U1N,29985.11,1630,645,88889.73,1.54,CUST_L7KZLJ,Premium,12,FLASH_CWZJ3Z,57,150,BNDL_0WEFGK,472.39,2,Innovative
CMP_A9A3FP,PROD_6AISV3,16440.08,4263,47,26375.47,3.68,CUST_XXDBDT,Basic,13,FLASH_MZXOE6,17,158,BNDL_HW30DT,270.93,2,Durable
CMP_X1OPBR,PROD_77USNO,42205.14,409,315,8688.28,4.23,CUST_MZ3LMG,Standard,15,FLASH_8ZNL0L,51,31,BNDL_DN70PS,261.89,1,Stylish
CMP_TZFZJ1,PROD_4BIK1E,16819.62,1838,222,72477.25,4.65,CUST_CK9J9U,Basic,35,FLASH_K77ATM,15,21,BNDL_HZ4GMV,439.93,2,Stylish
CMP_0RQFJN,PROD_7WU07C,9759.98,4385,782,66455.8,4.58,CUST_8HMLXX,Premium,1,FLASH_9RHURB,44,86,BNDL_G58APA,441.02,1,Innovative
CMP_BIEYIV,PROD_V8E70B,47316.05,4457,596,92430.72,0.65,CUST_1NE3DE,Basic,9,FLASH_N5FNP8,29,126,BNDL_84TUQJ,401.49,2,Durable
CMP_9JZ43H,PROD_YA9GLK,48434.35,2835,362,84952.12,2.65,CUST_DOUGF6,Premium,10,FLASH_TJQ556,45,184,BNDL_QFDH71,342.05,3,Innovative
CMP_9AZ9KA,PROD_G317MR,25224.27,534,982,27754.01,3.0,CUST_QAUXH1,Basic,27,FLASH_02MRX8,18,124,BNDL_WLPZKC,109.24,2,Innovative
CMP_VRGJWP,PROD_EN7BKR,39531.48,4980,851,28155.05,4.44,CUST_DWNJKT,Basic,23,FLASH_EYZSAD,47,76,BNDL_Q68LYR,495.14,4,Innovative
CMP_J4WWNI,PROD_74WGXD,1191.51,2103,815,14952.16,1.22,CUST_Y22YWI,Premium,21,FLASH_WHLRNL,51,121,BNDL_JL6I10,244.67,2,Durable
CMP_ERHBWI,PROD_F9QC8H,47675.89,773,545,88710.22,2.56,CUST_TV9ZQV,Premium,11,FLASH_OJX3XL,34,39,BNDL_VJ9Y89,138.15,4,Stylish
CMP_BXIM20,PROD_FACSLZ,18025.94,3372,778,93803.92,2.95,CUST_PKN0G7,Standard,34,FLASH_GN9JV3,11,182,BNDL_8YS7EJ,379.7,4,Innovative
CMP_O0HUM1,PROD_J6GFKJ,47520.11,4909,13,9800.38,4.28,CUST_RPOI04,Basic,33,FLASH_EZ7X2V,64,80,BNDL_8AWIHF,179.22,4,Durable
CMP_XFPT45,PROD_6UO8U4,5436.91,2635,86,87725.67,2.02,CUST_Y5GO58,Premium,24,FLASH_26X2J4,68,111,BNDL_RNKYEF,242.47,3,Affordable
CMP_VEZFH2,PROD_2QEXAO,11004.34,1092,800,50999.43,3.16,CUST_ZUFG0Q,Basic,33,FLASH_JXOZ0R,47,199,BNDL_82J229,175.07,4,Durable
CMP_33O4NF,PROD_R33XWF,15084.62,3374,228,41807.56,0.83,CUST_8Y4NTV,Basic,34,FLASH_0VUJBH,56,34,BNDL_XKK1HU,404.34,1,Stylish
CMP_7HMRQW,PROD_DX62IF,24173.01,1270,649,25180.95,0.84,CUST_QTR48I,Standard,23,FLASH_UVEY3S,13,186,BNDL_9YQSGL,432.7,1,Stylish
CMP_34HQ5U,PROD_6IFPHM,899.85,4636,235,63876.35,4.98,CUST_2FF5PB,Premium,17,FLASH_BJTTUG,56,46,BNDL_WN28GT,306.3,1,Stylish
CMP_K05ZGA,PROD_CKAV55,13560.24,2662,659,7208.47,0.88,CUST_7TT8ST,Basic,26,FLASH_AX41S3,14,133,BNDL_9LF2RA,226.73,1,Innovative
CMP_1SK145,PROD_ZUMB30,34502.68,2734,78,16089.53,2.63,CUST_8BF8VZ,Standard,30,FLASH_ONTIED,39,75,BNDL_LX6BDW,172.92,3,Stylish
CMP_UAICF2,PROD_VGJ9HY,39904.7,3491,884,16433.15,1.67,CUST_IG0GPP,Basic,12,FLASH_PGWPKX,43,50,BNDL_3YPMZM,401.48,4,Durable
CMP_VOKFBG,PROD_IO9U49,41432.19,4557,557,64342.81,2.09,CUST_TAYZE3,Basic,3,FLASH_QOKUVX,11,81,BNDL_TJYXP4,164.75,2,Innovative
CMP_DWZU4I,PROD_CJ1UCJ,3103.38,4054,263,98709.9,1.72,CUST_U90BYZ,Premium,10,FLASH_L6AWFG,67,104,BNDL_9QBFI7,187.71,3,Affordable
CMP_QH0SMN,PROD_EQN94W,25064.44,4958,339,25221.16,0.63,CUST_N9O07R,Standard,20,FLASH_0DLK7E,20,89,BNDL_BMRPBW,357.68,1,Innovative
CMP_HG0FWB,PROD_C89LN8,42025.3,4936,615,37248.89,4.18,CUST_STII9E,Premium,29,FLASH_6NVH0L,41,150,BNDL_8YN0RO,330.48,2,Durable
CMP_XRCF12,PROD_IFT52G,33081.13,2100,498,23273.84,4.28,CUST_JQE7HQ,Basic,10,FLASH_4YEOXB,23,31,BNDL_69HRLA,130.45,4,Durable
CMP_V2AKAL,PROD_4B248I,4616.73,943,918,78426.52,0.83,CUST_3A75QT,Basic,28,FLASH_LFBZLR,31,174,BNDL_O4QH20,498.89,1,Affordable
CMP_8W7HAW,PROD_DOYJQE,47731.63,4567,159,8505.21,2.5,CUST_YHYQAH,Standard,15,FLASH_61IBXI,16,152,BNDL_R5WAFX,345.31,4,Durable
CMP_O00VBQ,PROD_ESTQDI,25644.96,4106,141,91170.22,4.73,CUST_7ANL3M,Standard,24,FLASH_XSJCHQ,25,119,BNDL_1IBBH3,385.6,1,Affordable
CMP_BSPEFE,PROD_8FI3UR,34512.33,3615,115,10146.22,2.59,CUST_1Y2F2F,Premium,3,FLASH_VJECRZ,65,12,BNDL_9SZZKA,149.92,2,Durable
CMP_Y8P901,PROD_18N765,26203.46,180,117,15998.54,4.99,CUST_Z13GEI,Standard,29,FLASH_5IS8Z8,55,7,BNDL_TL33MY,491.8,2,Stylish
CMP_XAH490,PROD_IVM6YZ,17450.37,3129,292,88925.82,3.11,CUST_KM3REW,Premium,28,FLASH_Z3LUWF,29,112,BNDL_7JVK8R,307.58,3,Stylish
CMP_77KVY3,PROD_33COF6,41719.78,4003,261,35090.34,1.36,CUST_84MT33,Premium,33,FLASH_6ECQ4Z,13,145,BNDL_HMMI49,321.45,3,Stylish
CMP_8BNPEG,PROD_DK5IYH,13125.65,1633,14,84334.85,3.79,CUST_RS2N8C,Basic,13,FLASH_5X5X38,32,91,BNDL_GQT8XA,137.93,4,Innovative
CMP_R907KH,PROD_W9I9LC,32654.36,4911,250,90929.37,2.26,CUST_QJL4E0,Standard,13,FLASH_9EZADB,36,13,BNDL_JSM4JS,453.38,2,Innovative
CMP_6ZOWIR,PROD_0HOG0C,33458.8,1692,994,57680.38,4.09,CUST_K25TUU,Basic,7,FLASH_H604TM,20,144,BNDL_1D78G9,189.66,1,Stylish
CMP_YIVJTM,PROD_N9M17F,14625.78,668,862,29351.53,1.1,CUST_911TPP,Standard,22,FLASH_4W6JA3,11,59,BNDL_ABJQ39,251.81,2,Innovative
CMP_D305W1,PROD_FPIRBG,14409.41,2360,687,95547.2,4.53,CUST_OZINP5,Standard,27,FLASH_PMR31N,32,139,BNDL_OV6DY6,58.73,4,Affordable
CMP_1FWRGB,PROD_3BJIOR,35040.17,570,182,31151.61,4.93,CUST_2T8CEL,Standard,4,FLASH_RAWZHY,34,122,BNDL_7OUT8N,159.12,4,Stylish
CMP_OP2MI7,PROD_MLDT6R,44031.41,803,995,87098.84,3.34,CUST_1M4FZD,Basic,3,FLASH_H1LH2M,11,92,BNDL_JDJF8W,226.8,3,Durable
CMP_0KPFQL,PROD_67AQDN,35825.13,2907,858,51372.49,3.66,CUST_NJN6K7,Standard,28,FLASH_05VCYE,18,14,BNDL_708JQE,124.58,3,Stylish
CMP_IWGZ64,PROD_TONOET,5743.66,1245,375,60351.88,3.81,CUST_0Y86QF,Standard,29,FLASH_C0WGU1,10,61,BNDL_0LTQ5F,490.35,2,Durable
CMP_DPSZGR,PROD_4SQGLM,36750.76,4034,810,98711.24,4.34,CUST_SNS21E,Basic,14,FLASH_GDF2GO,46,57,BNDL_1WOAST,219.83,2,Durable
CMP_WPM2RM,PROD_JVX5WH,47951.99,833,159,5676.62,3.93,CUST_DU4GHT,Premium,11,FLASH_Y0MI9W,29,21,BNDL_KKO1AT,140.51,1,Stylish
CMP_NUGZ20,PROD_MNT2MC,19707.33,3469,433,59347.53,4.53,CUST_F4ZGKA,Basic,22,FLASH_XIHPHM,49,48,BNDL_4E9JRG,294.06,3,Innovative
CMP_VXPJ0B,PROD_S91NXA,24666.26,4097,372,66489.51,3.37,CUST_79PW52,Basic,9,FLASH_TXLEXI,68,137,BNDL_P0AIPZ,215.33,3,Innovative
CMP_80P7FB,PROD_L9KK0U,30766.7,2449,228,95210.21,0.64,CUST_CQYPL9,Basic,3,FLASH_9KGS0M,45,112,BNDL_0HJFYJ,215.85,1,Affordable
CMP_UG69JC,PROD_P8T58W,32103.4,2952,195,5528.63,4.3,CUST_CRQPV3,Standard,30,FLASH_R0V3WO,40,158,BNDL_10G4O1,462.72,3,Durable
CMP_6WE8W6,PROD_W55R88,44792.05,683,26,83164.88,0.53,CUST_F46UCR,Premium,2,FLASH_KX9MY9,53,98,BNDL_ZZ3RQ2,387.5,4,Innovative
CMP_52F4WR,PROD_JX5JG5,4073.65,1671,628,88605.11,2.71,CUST_CSDSRO,Basic,5,FLASH_FNXAN6,49,126,BNDL_R1NDOI,254.97,3,Affordable
CMP_HEZCE3,PROD_8QBU4Y,49366.97,3051,738,95295.4,3.16,CUST_7A1M6N,Standard,26,FLASH_CBDLRC,51,121,BNDL_7A69IB,131.6,4,Innovative
CMP_GNSET5,PROD_94ZRFO,45303.17,2850,444,81839.45,4.26,CUST_64BC7S,Basic,14,FLASH_D1BTI1,24,46,BNDL_PC5B8A,378.24,1,Innovative
CMP_RVXBXG,PROD_10OCFW,23795.37,3838,654,60718.24,2.74,CUST_QPIS45,Premium,11,FLASH_U0E6XE,25,143,BNDL_CP6VAY,60.59,3,Innovative
CMP_302P22,PROD_02K7IZ,12100.49,2410,207,18666.12,3.24,CUST_8DHTAT,Premium,7,FLASH_UZAKC8,40,135,BNDL_GH2DH9,188.12,4,Innovative
CMP_3LKTC1,PROD_XYX1BS,47560.47,3165,472,18015.62,3.97,CUST_K328QX,Premium,12,FLASH_856Z9D,61,166,BNDL_DDXX9O,77.08,4,Innovative
CMP_CFHTS6,PROD_4593T7,30242.98,1891,4,60011.28,3.29,CUST_9XCD1E,Standard,35,FLASH_09MH82,47,79,BNDL_WGMS1M,93.67,1,Innovative
CMP_YD6OWW,PROD_Y36YGI,30358.46,3935,315,64180.87,1.05,CUST_226IMH,Basic,8,FLASH_50ZRC4,26,112,BNDL_0EZV38,211.76,1,Stylish
CMP_IGB734,PROD_BJE5TZ,47677.75,1817,87,90909.69,0.56,CUST_48IUJM,Basic,30,FLASH_7KF44K,38,177,BNDL_D5K9D6,443.92,3,Stylish
CMP_6AZSVC,PROD_PINWNS,3485.88,4523,828,74681.29,3.37,CUST_5YKT36,Standard,13,FLASH_7JW7FB,27,181,BNDL_ZRV4L6,125.93,2,Innovative
CMP_6881CY,PROD_3GAWMO,5163.39,1262,567,26537.68,4.25,CUST_1URQA0,Basic,19,FLASH_K2OFJO,61,99,BNDL_7VT3UY,161.45,3,Innovative
CMP_5G320B,PROD_FHP2HH,32952.48,4380,442,64670.43,0.66,CUST_4RVYH2,Standard,14,FLASH_FKHHCB,24,131,BNDL_ZHFBHZ,188.41,2,Durable
CMP_IHSBC8,PROD_7OL21M,13378.21,3263,583,77000.33,3.28,CUST_JGHPQB,Standard,24,FLASH_AEHOXI,19,99,BNDL_QTXJZL,338.3,4,Durable
CMP_UX56B1,PROD_Z57R6D,8170.35,1590,625,11742.17,2.49,CUST_9LVGCU,Premium,19,FLASH_UO1AZG,34,84,BNDL_0MX9T7,437.61,3,Affordable
CMP_IRGXX2,PROD_IE5GSJ,2198.3,3128,54,12455.44,1.43,CUST_EIR77V,Basic,23,FLASH_0V5H37,15,74,BNDL_ZGQXDK,474.23,4,Stylish
CMP_CRZ3YK,PROD_T2AERU,15942.44,2249,828,95996.74,4.01,CUST_W88D4S,Premium,26,FLASH_O8CKWT,31,140,BNDL_K602JW,106.8,4,Affordable
CMP_GV7QWS,PROD_MYRFYW,16582.3,2725,182,14191.29,4.48,CUST_N3OGZV,Standard,24,FLASH_CAA7PU,46,55,BNDL_V4OUZL,99.26,4,Durable
CMP_U914BV,PROD_AWFTJ4,32544.97,332,309,6700.87,4.78,CUST_9H94H4,Standard,6,FLASH_TC1GI7,11,39,BNDL_SXMDH4,230.51,1,Stylish
CMP_KNRVQ3,PROD_UUBB51,27502.66,59,937,14250.98,2.5,CUST_B8QIAC,Premium,28,FLASH_K5I84M,22,199,BNDL_82FXNQ,79.25,1,Affordable
CMP_DSLVEF,PROD_7FOD0N,45484.9,1407,355,9660.09,4.93,CUST_6F4PGO,Premium,26,FLASH_22YGAU,40,60,BNDL_WDZT2A,461.46,2,Stylish
CMP_Y6NX3B,PROD_NCF3UZ,18705.17,4763,845,79718.02,2.99,CUST_6UWBIN,Standard,30,FLASH_R6B0DB,45,52,BNDL_953INB,322.53,1,Stylish
CMP_PWMFBR,PROD_16E56O,42309.18,4834,479,69833.46,2.24,CUST_PGUZTP,Standard,16,FLASH_WPPB4F,56,157,BNDL_HJVJ2R,250.55,3,Durable
CMP_VUDZXQ,PROD_08MSQA,7626.44,2904,348,47479.32,3.43,CUST_H52SZF,Premium,7,FLASH_UJLHB0,41,15,BNDL_CRGLZD,273.77,4,Affordable
CMP_N0MZ5R,PROD_7M76W5,21705.56,1854,272,67620.62,1.98,CUST_75IJHK,Standard,8,FLASH_HXG40B,19,68,BNDL_RG9CSO,375.82,3,Affordable
CMP_QKV36K,PROD_300TBQ,24013.73,509,141,24573.1,2.58,CUST_RCK6I3,Premium,17,FLASH_Z6C7H9,18,24,BNDL_GCIZHS,463.89,4,Innovative
CMP_Y3CFO9,PROD_SVKVXA,35926.59,2394,114,7451.9,3.33,CUST_AOFWWC,Basic,28,FLASH_JWNYVY,63,138,BNDL_NHV73X,126.44,4,Durable
CMP_C0Q5L4,PROD_5OWKOF,34986.45,25,528,98731.51,2.29,CUST_C3R82A,Standard,35,FLASH_23NCFJ,32,128,BNDL_JRBK9F,86.74,1,Affordable
CMP_KV1RPH,PROD_XLWJIZ,26160.48,4958,842,19764.4,2.0,CUST_TI5GXP,Basic,29,FLASH_2UFL6O,15,196,BNDL_69SI87,230.97,2,Durable
CMP_UJ9JL3,PROD_V2GNVN,48037.54,3110,35,14176.92,3.76,CUST_LCIYZL,Basic,16,FLASH_4Z5YTQ,46,114,BNDL_OKLGJ7,95.62,4,Durable
CMP_KLELGH,PROD_3LKY6J,5171.29,3852,363,58656.53,1.47,CUST_VZGUZI,Premium,16,FLASH_48RQ35,24,163,BNDL_K8XLH2,387.53,1,Stylish
CMP_LF0XJZ,PROD_UEAS8K,10624.88,1633,835,48414.45,2.38,CUST_GS0K4Y,Premium,29,FLASH_2JAOGS,43,5,BNDL_TGQ4SJ,469.43,2,Innovative
CMP_5FY2TU,PROD_TL95TZ,7928.76,4364,440,99239.98,4.65,CUST_QJWX3E,Basic,10,FLASH_NGRFHW,58,112,BNDL_VGJ1T5,188.65,4,Innovative
CMP_CC8ZK7,PROD_JDFYEH,12604.11,4892,25,68403.51,3.46,CUST_DQ2DXR,Basic,26,FLASH_N8FEYG,35,182,BNDL_L2JO5S,323.83,3,Affordable
CMP_N61R6X,PROD_R7FOZG,14218.46,3891,678,75402.56,3.03,CUST_ZHLVR0,Standard,30,FLASH_SLJH96,43,33,BNDL_HP4GK5,273.54,1,Durable
CMP_TBB3YA,PROD_MDKL13,44595.46,4195,457,92494.33,2.16,CUST_3OARTY,Basic,3,FLASH_N7RNNQ,66,149,BNDL_YWTQRI,336.32,4,Affordable
CMP_EH378A,PROD_MAQCBF,39923.5,164,451,17929.16,4.78,CUST_T2L5K6,Basic,33,FLASH_7HY3EB,23,168,BNDL_W9G1GP,207.54,2,Innovative
CMP_ZGOZYG,PROD_YMGLC7,15308.75,1734,846,75254.67,2.1,CUST_5DT8ZD,Basic,21,FLASH_IPPFLP,11,7,BNDL_KPZXR7,397.98,1,Stylish
CMP_233MHS,PROD_M874GG,1163.97,2117,820,73153.86,0.62,CUST_CF16FO,Premium,35,FLASH_R5FGGE,19,158,BNDL_N3V281,96.79,1,Affordable
CMP_3NG6GP,PROD_NPM80K,24222.92,1188,867,98204.56,0.56,CUST_M67GX2,Basic,8,FLASH_C3XIUW,44,194,BNDL_KGG1XE,119.25,3,Stylish
CMP_STY9D8,PROD_TKLWVJ,39727.48,4380,668,19280.32,3.26,CUST_Y3IPG9,Premium,17,FLASH_L075YM,30,73,BNDL_SM6OEZ,175.58,2,Durable
CMP_5SKGDD,PROD_OXH050,44957.5,2401,886,69665.64,3.45,CUST_5AFMIX,Premium,24,FLASH_CKIDWY,45,159,BNDL_EU6Q51,291.38,4,Stylish
CMP_UJPU64,PROD_7SSGXX,8214.53,4447,200,38546.75,0.76,CUST_S8QXLP,Premium,26,FLASH_XC2PHB,17,103,BNDL_5BIFGX,160.17,3,Affordable
CMP_WSTBFD,PROD_RHY5TM,10568.3,4294,877,16066.15,2.54,CUST_SFGKZQ,Premium,13,FLASH_ZF21EA,58,120,BNDL_A7D6X0,334.35,4,Durable
CMP_7FS5E8,PROD_0ATIWY,39925.73,1308,667,39628.31,4.15,CUST_WJ92GK,Standard,31,FLASH_4ZLBBZ,50,73,BNDL_NG3YVE,369.21,3,Affordable
CMP_3VFROW,PROD_P27SRT,16623.51,3574,130,97788.85,3.2,CUST_9WMCFC,Standard,7,FLASH_Y5KESZ,44,162,BNDL_QWSI87,280.8,3,Innovative
CMP_HKOWJY,PROD_MCK4ET,2710.62,2482,682,86758.22,3.26,CUST_X11B57,Standard,22,FLASH_IX81UP,18,110,BNDL_29U0S3,237.13,4,Innovative
CMP_FXVU5V,PROD_AVEW9M,42287.77,143,104,7502.85,2.55,CUST_PS1S9K,Premium,2,FLASH_HWCM38,25,68,BNDL_2KIGN1,423.89,3,Stylish
CMP_GI2Y2R,PROD_LVIDJM,43590.12,3557,161,31944.63,4.5,CUST_YJUCLE,Standard,17,FLASH_YNVT9X,18,120,BNDL_1SVPC4,286.16,3,Stylish
CMP_CR4SGX,PROD_9LGH9H,8975.24,302,361,76202.39,3.72,CUST_OMF45D,Basic,3,FLASH_56Q77C,44,82,BNDL_DE6Y2B,162.69,4,Innovative
